"Iteration","Blue_Path_Total_Gaps_Sum","Positions_1_Min_Total_Gaps_Sum","Positions_5_Min_Total_Gaps_Sum","Blue_Path_Residency_Time","Positions_1_Min_Residency_Time","Positions_5_Min_Residency_Time"
600,49076,182,945,37324,495,107
601,0,0,0,86400,1440,289
602,49130,165,824,37270,616,124
603,51191,175,904,35209,536,114
604,66896,224,1117,19504,323,65
605,7004,0,266,79396,1174,289
606,0,0,18,86400,1422,289
607,0,0,40,86400,1400,289
608,44948,112,763,41452,677,177
609,62247,211,1038,24153,402,78
610,33649,113,564,52751,876,176
611,4734,0,83,81666,1357,289
612,50374,158,932,36026,508,131
613,68595,253,1269,17805,171,36
614,67682,232,1150,18718,290,57
615,59550,203,1009,26850,431,86
616,78553,262,1310,7847,130,27
617,25809,94,532,60591,908,195
618,30254,101,508,56146,932,188
619,0,0,46,86400,1394,289
620,4040,0,249,82360,1191,289
621,30914,111,680,55486,760,178
622,0,0,0,86400,1440,289
623,0,0,0,86400,1440,289
624,0,0,177,86400,1263,289
625,74622,253,1258,11778,182,36
626,74957,252,1257,11443,183,37
627,60821,140,1060,25579,380,149
628,17966,60,320,68434,1120,229
629,25795,86,495,60605,945,203
630,0,0,0,86400,1440,289
631,0,0,0,86400,1440,289
632,70955,237,1188,15445,252,52
633,31463,76,569,54937,871,213
634,0,0,0,86400,1440,289
635,49822,126,1017,36578,423,163
636,41759,140,828,44641,612,149
637,33994,112,710,52406,730,177
638,0,0,95,86400,1345,289
639,15441,0,410,70959,1030,289
640,0,0,219,86400,1221,289
641,62862,193,1134,23538,306,96
642,0,0,119,86400,1321,289
643,28849,65,623,57551,817,224
644,73630,259,1291,12770,149,30
645,54041,181,901,32359,539,108
646,0,0,149,86400,1291,289
647,17450,0,317,68950,1123,289
648,48557,164,824,37843,616,125
649,52806,177,884,33594,556,112
650,0,0,61,86400,1379,289
651,0,0,0,86400,1440,289
652,22127,84,464,64273,976,205
653,0,0,0,86400,1440,289
654,18399,0,603,68001,837,289
655,58287,182,1025,28113,415,107
656,53784,124,1062,32616,378,165
657,21611,72,469,64789,971,217
658,65970,221,1102,20430,338,68
659,15544,0,344,70856,1096,289
660,30446,101,645,55954,795,188
661,52868,189,950,33532,490,100
662,46271,157,794,40129,646,132
663,26143,70,598,60257,842,219
664,4538,0,78,81862,1362,289
665,13283,0,420,73117,1020,289
666,0,0,16,86400,1424,289
667,73690,246,1229,12710,211,43
668,35176,125,617,51224,823,164
669,60865,210,1031,25535,409,79
670,3996,0,282,82404,1158,289
671,0,0,0,86400,1440,289
672,0,0,208,86400,1232,289
673,17680,0,336,68720,1104,289
674,17015,0,394,69385,1046,289
675,0,0,130,86400,1310,289
676,0,0,92,86400,1348,289
677,6457,0,280,79943,1160,289
678,68998,231,1151,17402,289,58
679,40379,136,786,46021,654,153
680,73819,214,1292,12581,148,75
681,47334,146,984,39066,456,143
682,15016,0,393,71384,1047,289
683,22960,0,545,63440,895,289
684,0,0,41,86400,1399,289
685,43997,134,895,42403,545,155
686,9248,0,254,77152,1186,289
687,43730,148,729,42670,711,141
688,0,0,72,86400,1368,289
689,0,0,0,86400,1440,289
690,0,0,0,86400,1440,289
691,19490,0,403,66910,1037,289
692,48980,180,894,37420,546,109
693,61802,214,1106,24598,334,75
694,7865,0,204,78535,1236,289
695,63222,211,1054,23178,386,78
696,36759,150,727,49641,713,139
697,62856,212,1060,23544,380,77
698,0,0,0,86400,1440,289
699,11631,0,421,74769,1019,289
700,5882,0,100,80518,1340,289
701,28572,100,481,57828,959,189
702,53330,180,891,33070,549,109
703,71477,193,1193,14923,247,96
704,44067,155,831,42333,609,134
705,22369,0,410,64031,1030,289
706,40895,112,719,45505,721,177
707,60342,202,1006,26058,434,87
708,23515,0,582,62885,858,289
709,16913,0,390,69487,1050,289
710,61174,208,1024,25226,416,81
711,0,0,119,86400,1321,289
712,0,0,41,86400,1399,289
713,77772,260,1334,8628,106,29
714,38779,133,676,47621,764,156
715,41904,145,798,44496,642,144
716,0,0,0,86400,1440,289
717,0,0,16,86400,1424,289
718,14349,0,244,72051,1196,289
719,0,0,0,86400,1440,289
720,0,0,30,86400,1410,289
721,0,0,0,86400,1440,289
722,33728,113,563,52672,877,176
723,47227,169,871,39173,569,120
724,5147,0,166,81253,1274,289
725,58049,206,1107,28351,333,83
726,22529,79,435,63871,1005,210
727,0,0,0,86400,1440,289
728,10556,0,190,75844,1250,289
729,23551,61,415,62849,1025,228
730,10861,0,204,75539,1236,289
731,0,0,0,86400,1440,289
732,56216,188,994,30184,446,101
733,63946,232,1111,22454,329,57
734,19021,70,388,67379,1052,219
735,0,0,0,86400,1440,289
736,0,0,0,86400,1440,289
737,41491,149,730,44909,710,140
738,19848,76,552,66552,888,213
739,45180,153,754,41220,686,136
740,19434,0,508,66966,932,289
741,38898,131,833,47502,607,158
742,51965,180,886,34435,554,109
743,37518,90,708,48882,732,199
744,64136,197,1101,22264,339,92
745,0,0,0,86400,1440,289
746,10394,0,235,76006,1205,289
747,40218,120,707,46182,733,169
748,38169,0,756,48231,684,289
749,7080,0,120,79320,1320,289
750,0,0,0,86400,1440,289
751,48043,164,841,38357,599,125
752,21166,76,380,65234,1060,213
753,26795,90,549,59605,891,199
754,21339,0,444,65061,996,289
755,45664,154,762,40736,678,135
756,30779,117,545,55621,895,172
757,0,0,0,86400,1440,289
758,39167,109,688,47233,752,180
759,61168,189,1023,25232,417,100
760,34783,118,588,51617,852,171
761,43958,153,785,42442,655,136
762,0,0,0,86400,1440,289
763,35135,100,589,51265,851,189
764,0,0,21,86400,1419,289
765,69726,238,1169,16674,271,51
766,55087,186,946,31313,494,103
767,3622,0,128,82778,1312,289
768,0,0,41,86400,1399,289
769,24931,61,668,61469,772,228
770,52213,161,874,34187,566,128
771,69856,235,1229,16544,211,54
772,17269,0,402,69131,1038,289
773,23977,68,487,62423,953,221
774,64302,200,1099,22098,341,89
775,27380,94,469,59020,971,195
776,13938,0,236,72462,1204,289
777,25322,86,500,61078,940,203
778,19584,67,425,66816,1015,222
779,33359,74,796,53041,644,215
780,42567,92,767,43833,673,197
781,27895,98,649,58505,791,191
782,0,0,55,86400,1385,289
783,27538,93,568,58862,872,196
784,29658,85,596,56742,844,204
785,52036,175,970,34364,470,114
786,0,0,102,86400,1338,289
787,11892,0,293,74508,1147,289
788,22533,72,588,63867,852,217
789,0,0,0,86400,1440,289
790,0,0,0,86400,1440,289
791,6021,0,170,80379,1270,289
792,17116,0,386,69284,1054,289
793,4732,0,110,81668,1330,289
794,59056,197,986,27344,454,92
795,63656,218,1082,22744,358,71
796,76628,256,1278,9772,162,33
797,0,0,0,86400,1440,289
798,33037,119,575,53363,865,170
799,19766,70,334,66634,1106,219
800,0,0,31,86400,1409,289
801,24827,83,465,61573,975,206
802,38626,132,658,47774,782,157
803,39624,81,785,46776,655,208
