"Iteration","Blue_Path_Total_Gaps_Sum","Positions_1_Min_Total_Gaps_Sum","Positions_5_Min_Total_Gaps_Sum","Blue_Path_Residency_Time","Positions_1_Min_Residency_Time","Positions_5_Min_Residency_Time"
692,0,0,27,86400,1413,289
693,15260,0,365,71140,1075,289
694,0,0,0,86400,1440,289
695,61103,0,1026,25297,414,289
696,0,0,32,86400,1408,289
697,0,0,146,86400,1294,289
698,0,0,62,86400,1378,289
699,31930,0,614,54470,826,289
700,7952,0,331,78448,1109,289
701,0,0,0,86400,1440,289
702,13230,0,346,73170,1094,289
703,0,0,24,86400,1416,289
704,41708,140,697,44692,743,149
705,0,0,26,86400,1414,289
706,0,0,0,86400,1440,289
707,0,0,73,86400,1367,289
708,23995,0,502,62405,938,289
709,0,0,0,86400,1440,289
710,0,0,0,86400,1440,289
711,48026,0,926,38374,514,289
712,0,0,0,86400,1440,289
713,0,0,0,86400,1440,289
714,0,0,248,86400,1192,289
715,0,0,76,86400,1364,289
716,0,0,0,86400,1440,289
717,56689,190,1070,29711,370,99
718,48227,162,810,38173,630,127
719,0,0,81,86400,1359,289
720,14264,0,268,72136,1172,289
721,72155,241,1208,14245,232,48
722,59799,204,1028,26601,412,85
723,47714,135,979,38686,461,154
724,54527,0,936,31873,504,289
725,19917,0,390,66483,1050,289
726,0,0,0,86400,1440,289
727,69266,231,1207,17134,233,58
728,0,0,206,86400,1234,289
729,0,0,29,86400,1411,289
730,26498,0,443,59902,997,289
731,26730,0,619,59670,821,289
732,0,0,220,86400,1220,289
733,41397,0,921,45003,519,289
734,20121,0,387,66279,1053,289
735,0,0,363,86400,1077,289
736,38644,0,768,47756,672,289
737,19504,0,386,66896,1054,289
738,38299,129,759,48101,681,160
739,0,0,0,86400,1440,289
740,0,0,0,86400,1440,289
741,0,0,178,86400,1262,289
742,0,0,429,86400,1011,289
743,19908,0,392,66492,1048,289
744,0,0,337,86400,1103,289
745,10747,0,488,75653,952,289
746,67663,232,1135,18737,305,57
747,10421,0,178,75979,1262,289
748,0,0,0,86400,1440,289
749,69942,236,1167,16458,273,53
750,0,0,0,86400,1440,289
751,31133,0,523,55267,917,289
752,0,0,0,86400,1440,289
753,42955,0,770,43445,670,289
754,45716,0,794,40684,646,289
755,11491,0,396,74909,1044,289
756,11361,0,240,75039,1200,289
757,31751,0,556,54649,884,289
758,78339,262,1308,8061,132,27
759,0,0,52,86400,1388,289
760,65033,227,1168,21367,272,62
761,0,0,0,86400,1440,289
762,67925,171,1165,18475,275,118
763,26576,0,444,59824,996,289
764,0,0,116,86400,1324,289
765,0,0,347,86400,1093,289
766,32665,0,738,53735,702,289
767,0,0,0,86400,1440,289
768,46850,158,786,39550,654,131
769,71692,239,1197,14708,243,50
770,0,0,206,86400,1234,289
771,36866,138,695,49534,745,151
772,35932,125,599,50468,841,164
773,19528,0,688,66872,752,289
774,61352,210,1050,25048,390,79
775,9404,0,402,76996,1038,289
776,68279,228,1139,18121,301,61
777,26795,0,592,59605,848,289
778,0,0,25,86400,1415,289
779,17061,0,341,69339,1099,289
780,15530,0,290,70870,1150,289
781,24258,0,405,62142,1035,289
782,70691,241,1202,15709,238,48
783,0,0,0,86400,1440,289
784,17272,0,374,69128,1066,289
785,64437,0,1092,21963,348,289
786,0,0,119,86400,1321,289
787,8628,0,383,77772,1057,289
788,7807,0,345,78593,1095,289
789,0,0,0,86400,1440,289
790,70509,200,1233,15891,207,89
791,66112,222,1109,20288,331,67
792,69519,242,1166,16881,274,47
793,7789,0,131,78611,1309,289
794,0,0,0,86400,1440,289
795,27937,0,467,58463,973,289
796,0,0,0,86400,1440,289
797,38977,139,778,47423,662,150
798,0,0,0,86400,1440,289
799,31361,0,523,55039,917,289
800,28119,0,469,58281,971,289
801,47291,167,820,39109,620,122
802,0,0,0,86400,1440,289
803,22362,0,382,64038,1058,289
804,14695,0,249,71705,1191,289
805,0,0,0,86400,1440,289
806,0,0,38,86400,1402,289
807,51697,173,864,34703,576,116
808,13028,0,245,73372,1195,289
809,0,0,38,86400,1402,289
810,14913,0,541,71487,899,289
811,0,0,0,86400,1440,289
812,0,0,47,86400,1393,289
813,30034,0,577,56366,863,289
814,20918,0,665,65482,775,289
815,37788,145,791,48612,649,144
816,0,0,232,86400,1208,289
817,36306,0,890,50094,550,289
818,11506,0,348,74894,1092,289
819,0,0,0,86400,1440,289
820,49374,165,1076,37026,364,124
821,37256,125,709,49144,731,164
822,0,0,0,86400,1440,289
823,15208,0,588,71192,852,289
824,47305,180,882,39095,558,109
825,0,0,0,86400,1440,289
826,0,0,141,86400,1299,289
827,0,0,231,86400,1209,289
828,0,0,131,86400,1309,289
829,61081,209,1039,25319,401,80
