Iteration,Blue_Path_Total_Gaps_Sum,Positions_1_Min_Total_Gaps_Sum,Positions_5_Min_Total_Gaps_Sum,Blue_Path_Residency_Time,Positions_1_Min_Residency_Time,Positions_5_Min_Residency_Time
686,32450,121,681,53950,759,168
687,0,0,38,86400,1402,289
688,17815,72,451,68585,989,217
689,58341,196,1003,28059,437,93
690,50160,178,926,36240,514,111
691,9298,32,235,77102,1205,257
692,0,0,0,86400,1440,289
693,15063,53,264,71337,1176,236
694,4201,0,113,82199,1327,289
695,33347,105,675,53053,765,184
696,26267,91,506,60133,934,198
697,51030,171,869,35370,571,118
698,69626,236,1192,16774,248,53
699,7039,34,196,79361,1244,255
700,18872,65,341,67528,1099,224
701,0,0,13,86400,1427,289
702,46589,147,792,39811,648,142
703,0,0,170,86400,1270,289
704,43512,162,812,42888,628,127
705,15911,67,374,70489,1066,222
706,46694,158,790,39706,650,131
707,13678,0,318,72722,1122,289
708,51730,174,881,34670,559,115
709,56119,178,1000,30281,440,111
710,0,0,0,86400,1440,289
711,17202,53,380,69198,1060,236
712,55445,189,967,30955,473,100
713,0,0,7,86400,1433,289
714,0,0,8,86400,1432,289
715,0,0,23,86400,1417,289
716,31878,102,678,54522,762,187
717,70005,208,1218,16395,222,81
718,18945,68,322,67455,1118,221
719,21171,71,504,65229,936,218
720,19769,60,344,66631,1096,229
721,64871,229,1246,21529,194,60
722,9232,36,242,77168,1198,253
723,50500,169,848,35900,592,120
724,47075,152,847,39325,593,137
725,53376,158,930,33024,510,131
726,22907,79,386,63493,1054,210
727,59956,190,1011,26444,429,99
728,55226,185,953,31174,487,104
729,66106,174,1155,20294,285,115
730,5570,0,157,80830,1283,289
731,30025,104,559,56375,881,185
732,0,0,66,86400,1374,289
733,25420,54,517,60980,923,235
734,51559,150,1017,34841,423,139
735,43119,156,817,43281,623,133
736,20084,33,409,66316,1031,256
737,32397,108,621,54003,819,181
738,68517,231,1204,17883,236,58
739,79215,269,1345,7185,95,20
740,40457,156,813,45943,627,133
741,34797,125,640,51603,800,164
742,0,0,0,86400,1440,289
743,7427,0,212,78973,1228,289
744,13804,56,276,72596,1164,233
745,73217,236,1257,13183,183,53
746,59696,202,1047,26704,393,87
747,43802,147,753,42598,687,142
748,11189,45,521,75211,919,244
749,60892,194,1077,25508,363,95
750,16763,61,299,69637,1141,228
751,13273,45,283,73127,1157,244
752,29291,77,583,57109,857,212
753,41555,113,865,44845,575,176
754,20737,42,498,65663,942,247
755,0,0,6,86400,1434,289
756,61256,198,1028,25144,412,91
757,0,0,0,86400,1440,289
758,53588,181,938,32812,502,108
759,50126,134,868,36274,572,155
760,72354,242,1241,14046,199,47
761,0,0,71,86400,1369,289
762,3326,0,145,83074,1295,289
763,0,0,0,86400,1440,289
764,42654,138,873,43746,567,151
