"Trial","Curious_1_Min","Curious_5_Min","Aggressive_1_Min","Aggressive_5_Min"
784,6,2,3,1
785,10,2,0,0
786,4,1,3,0
787,0,0,7,2
788,8,1,7,1
789,5,1,3,0
790,5,1,4,1
791,5,1,4,1
792,4,1,4,1
793,13,3,3,1
794,8,2,4,1
795,7,2,3,1
796,9,1,3,1
797,0,0,0,0
798,0,0,4,1
799,7,1,3,1
800,5,1,3,1
801,9,2,3,1
802,8,2,4,1
803,0,0,7,1
804,5,1,4,1
805,0,0,4,0
806,8,1,2,0
807,11,3,4,1
808,4,1,2,0
809,7,2,4,1
810,7,2,4,1
811,10,2,3,1
812,7,2,4,1
813,7,2,2,1
814,0,0,3,1
815,7,2,4,1
816,5,1,0,0
817,4,1,4,1
818,8,2,3,1
819,7,1,2,1
820,1,0,6,1
821,6,2,3,0
822,8,2,4,0
823,4,1,3,1
824,8,1,3,0
825,4,1,4,1
826,5,1,4,1
827,9,2,3,0
828,6,1,4,1
829,6,1,4,0
830,4,0,4,0
831,6,2,4,0
832,0,0,3,1
833,13,3,2,1
834,7,2,0,0
835,12,2,4,1
836,7,2,4,1
837,3,1,3,1
838,4,1,4,1
839,9,2,4,1
840,7,1,2,1
841,9,2,4,0
842,2,0,4,1
843,8,1,2,1
844,8,2,2,0
845,0,0,4,1
846,8,2,4,0
847,0,0,2,1
848,9,2,0,0
849,7,2,3,1
850,4,1,4,1
851,9,1,4,0
852,7,1,4,1
853,6,1,3,1
854,5,1,4,1
855,7,2,3,0
856,5,1,4,1
857,10,2,4,1
858,5,1,4,0
859,8,2,4,0
860,0,0,4,1
861,6,1,4,1
862,0,0,3,0
863,11,3,7,2
864,6,1,3,1
865,10,2,0,0
866,6,2,3,1
867,5,1,3,0
868,9,2,6,1
869,9,2,2,0
870,5,1,2,1
871,4,1,3,1
872,4,1,4,1
873,4,1,3,0
874,0,0,4,0
875,1,0,2,1
876,0,0,4,1
877,4,1,2,1
878,6,2,4,1
879,8,2,7,2
880,9,1,4,1
881,4,0,3,1
882,5,1,3,1
883,5,1,4,1
884,10,2,3,1
885,8,1,4,0
886,8,2,3,1
887,8,2,3,0
888,9,2,4,1
889,0,0,2,1
890,10,2,3,1
891,8,2,2,1
892,8,2,3,0
893,9,2,3,1
894,3,1,4,1
895,12,2,3,0
896,1,0,4,1
897,0,0,4,1
898,9,2,4,1
899,9,2,3,1
900,10,1,2,0
901,10,2,4,1
902,9,2,3,1
903,0,0,0,0
904,8,2,3,1
905,0,0,4,1
906,8,2,2,1
907,11,2,3,1
908,7,2,4,1
909,1,0,4,1
910,7,2,4,0
911,7,1,3,1
912,0,0,4,1
913,4,1,3,0
914,5,1,3,1
915,1,0,3,1
916,11,3,3,0
917,7,2,2,1
918,6,1,3,1
919,7,2,3,1
920,7,2,3,1
921,6,1,3,1
922,6,1,4,0
923,10,2,3,1
924,1,0,3,1
925,4,1,3,1
926,4,1,3,1
927,0,0,4,1
928,8,2,4,0
929,9,2,3,0
930,2,1,3,1
931,5,1,3,1
932,3,1,4,1
933,9,3,4,1
934,0,0,4,1
935,8,1,3,1
936,7,2,3,0
937,6,2,4,1
938,5,1,0,0
939,8,1,2,1
940,6,1,3,1
941,7,2,8,2
942,7,2,2,1
943,8,2,3,1
944,5,1,4,0
945,11,3,2,1
946,9,2,4,0
947,5,1,1,0
948,6,2,4,1
949,4,1,4,1
950,4,1,4,1
951,8,2,3,0
952,9,2,5,1
953,10,2,3,1
954,9,2,4,1
955,6,2,3,0
956,7,2,3,1
957,0,0,3,1
958,4,1,6,1
959,7,2,2,0
960,8,2,0,0
961,3,0,3,1
962,8,1,3,1
963,9,2,3,0
964,5,1,2,1
965,5,1,0,0
966,10,2,3,1
967,0,0,3,1
968,0,0,3,1
969,9,2,3,1
970,7,2,3,1
971,4,1,4,1
972,11,2,4,0
973,0,0,3,1
974,9,2,4,1
975,4,1,3,1
976,10,2,3,0
977,9,2,3,1
978,6,1,4,1
979,0,0,4,1
980,4,1,4,1
981,0,0,1,0
982,10,2,3,1
983,5,1,4,0
984,2,1,4,1
985,7,2,7,1
986,7,2,4,0
987,9,2,3,1
988,4,1,4,0
989,0,0,4,1
990,10,2,3,0
991,3,1,0,0
992,8,2,2,0
993,6,2,3,0
994,10,2,4,1
995,1,0,3,0
996,10,2,4,0
997,0,0,4,0
998,7,2,4,0
999,8,2,4,1
1000,7,1,4,1
