"Trial","X1.Second.Residency","X1.Minute.Residency","X5.Minute.Residency","X1.Hour.Visits..1.Second.","X1.Hour.Visits..1.Minute.","X1.Hour.Visits..5.Minutes.","X1.Hour.Total.Time..1.Second.","X1.Hour.Total.Time..1.Minute.","X1.Hour.Total.Time..5.Minutes.","X2.Hour.Visits..1.Second.","X2.Hour.Visits..1.Minute.","X2.Hour.Visits..5.Minutes.","X2.Hour.Total.Time..1.Second.","X2.Hour.Total.Time..1.Minute.","X2.Hour.Total.Time..5.Minutes.","Half.Hour.Visits..1.Second.","Half.Hour.Visits..1.Minute.","Half.Hour.Visits..5.Minutes.","Half.Hour.Total.Time..1.Second.","Half.Hour.Total.Time..1.Minute.","Half.Hour.Total.Time..5.Minutes."
156,1,0.749479528105482,0.778546712802768,1,1,1,86401,64800,67500,1,1,1,86401,64800,67500,1,1,1,86401,64800,67500
157,1,0.598195697432339,0.626297577854671,1,1,1,86401,51720,54300,1,1,1,86401,51720,54300,1,1,1,86401,51720,54300
158,0.957882431916297,0.658570437196391,0.674740484429066,1,1,2,82762,56940,58500,1,1,1,82762,56940,58500,1,1,3,82762,56940,58500
159,1,0.998612074947953,0.996539792387543,1,1,1,86401,86340,86400,1,1,1,86401,86340,86400,1,1,1,86401,86340,86400
160,0.826749690397102,0.561415683553088,0.550173010380623,3,3,3,71432,48540,47700,2,2,2,71432,48540,47700,4,4,5,71432,48540,47700
161,0.999768521197671,0.832755031228314,0.820069204152249,1,1,1,86381,72000,71100,1,1,1,86381,72000,71100,1,1,2,86381,72000,71100
162,0.933878080114813,0.584316446911867,0.560553633217993,1,1,2,80688,50520,48600,1,1,1,80688,50520,48600,3,3,4,80688,50520,48600
163,1,1,1,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700
164,1,0.714087439278279,0.750865051903114,1,1,1,86401,61740,65100,1,1,1,86401,61740,65100,1,1,1,86401,61740,65100
165,1,0.882720333102012,0.875432525951557,1,1,1,86401,76320,75900,1,1,1,86401,76320,75900,1,1,1,86401,76320,75900
166,0.684239765743452,0.394864677307425,0.370242214532872,3,3,4,59119,34140,32100,2,2,2,59119,34140,32100,4,7,7,59119,34140,32100
167,1,0.995836224843858,0.993079584775087,1,1,1,86401,86100,86100,1,1,1,86401,86100,86100,1,1,1,86401,86100,86100
168,1,0.938931297709924,0.941176470588235,1,1,1,86401,81180,81600,1,1,1,86401,81180,81600,1,1,1,86401,81180,81600
169,1,0.91117279666898,0.930795847750865,1,1,1,86401,78780,80700,1,1,1,86401,78780,80700,1,1,1,86401,78780,80700
170,1,0.80499653018737,0.826989619377163,1,1,1,86401,69600,71700,1,1,1,86401,69600,71700,1,1,1,86401,69600,71700
171,1,0.987508674531575,0.986159169550173,1,1,1,86401,85380,85500,1,1,1,86401,85380,85500,1,1,1,86401,85380,85500
172,1,1,1,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700
173,0.621462714551915,0.446911866759195,0.42560553633218,3,3,3,53695,38640,36900,2,2,1,53695,38640,36900,4,6,5,53695,38640,36900
174,0.951065381187718,0.73351839000694,0.750865051903114,1,1,2,82173,63420,65100,1,1,1,82173,63420,65100,2,2,2,82173,63420,65100
175,1,0.981263011797363,0.97923875432526,1,1,1,86401,84840,84900,1,1,1,86401,84840,84900,1,1,1,86401,84840,84900
176,0.766738810893392,0.539208882720333,0.543252595155709,1,1,1,66247,46620,47100,1,1,1,66247,46620,47100,1,1,2,66247,46620,47100
177,1,1,1,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700
178,1,1,1,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700,1,1,1,86401,86460,86700
179,0.999756947257555,0.775156141568355,0.764705882352941,1,1,1,86380,67020,66300,1,1,1,86380,67020,66300,1,1,2,86380,67020,66300
180,1,0.865371269951423,0.868512110726644,1,1,1,86401,74820,75300,1,1,1,86401,74820,75300,1,1,1,86401,74820,75300
181,1,0.886884108258154,0.910034602076125,1,1,1,86401,76680,78900,1,1,1,86401,76680,78900,1,1,1,86401,76680,78900
182,1,0.709923664122137,0.692041522491349,1,1,1,86401,61380,60000,1,1,1,86401,61380,60000,1,1,2,86401,61380,60000
183,0.67558245853636,0.58292852185982,0.591695501730104,1,1,1,58371,50400,51300,1,1,1,58371,50400,51300,1,1,1,58371,50400,51300
184,1,0.981956974323387,0.98961937716263,1,1,1,86401,84900,85800,1,1,1,86401,84900,85800,1,1,1,86401,84900,85800
185,1,0.92088827203331,0.903114186851211,1,1,1,86401,79620,78300,1,1,1,86401,79620,78300,1,1,1,86401,79620,78300
186,0.76570873022303,0.481609993060375,0.491349480968858,2,2,1,66158,41640,42600,2,2,1,66158,41640,42600,2,2,2,66158,41640,42600
